task_id,ai_treatment,initial_time
1,0,81.39226622215864
2,0,127.0202265429078
3,1,216.01737453291304
4,0,93.9389494866735
5,1,209.79819646230453
6,1,186.71872358897525
7,1,134.6407104525203
8,0,5.0
9,0,28.337348154690666
10,1,176.416769533527
11,1,5.0
12,1,127.88032236788685
13,1,196.63787740544416
14,1,130.48882725622224
15,0,53.91616526569641
16,1,52.56408016454586
17,1,182.2599123847469
18,0,118.30243749161872
19,1,96.33183452306623
20,0,153.91754813075698
21,1,185.2118273466023
22,0,197.31563143952775
23,1,162.8177375213928
24,0,80.12997395028573
25,1,107.44670709281291
26,1,5.0
27,1,130.3514053916959
28,0,89.0571036088532
29,0,10.19555606911291
30,0,88.48274246573231
31,1,223.36712055914876
32,1,61.30528330409293
33,1,43.7282186951153
34,0,156.29569310700896
35,1,168.0707431086146
36,0,273.6657128626956
37,1,15.751527460867209
38,1,174.79020487897932
39,0,108.95345442913894
40,0,93.55687704319175
41,1,189.6199530425841
42,0,88.2164785387566
43,0,5.0
44,1,52.506112807213796
45,0,171.8660068392191
46,1,210.01825449674322
47,0,67.61284862097824
48,1,157.88057100329576
49,0,257.0362827893902
50,1,116.16742974298614
51,1,117.69650105700448
52,1,133.46669899893283
53,1,165.94410534635273
54,1,91.38570774372538
55,1,165.87809032172862
56,0,5.0
57,1,144.83910357532767
58,1,122.54912525138296
59,0,76.95258138575856
60,1,81.5299268247629
61,0,53.437597446935186
62,0,41.188734182398605
63,0,5.0
64,1,97.69456855625594
65,1,204.11372358420493
66,0,69.87533855574962
67,1,168.13877897035437
68,1,34.34433213684213
69,1,16.755590784794933
70,1,60.040576240721514
71,0,28.470007816790613
72,1,26.322910315865883
73,0,116.98644230932402
74,1,257.35609882310496
75,0,49.983397502609236
76,1,5.0
77,1,169.83019183079043
78,0,5.0
79,0,19.00406271273485
80,0,119.6997392515017
81,1,105.70585006482213
82,1,65.0003363240642
83,1,123.93139758609864
84,0,65.43547016570656
85,1,265.98471717787345
86,1,65.88723073073106
87,1,47.3538220888516
88,1,83.10741242896984
89,0,65.23430320859362
90,0,125.73861910825929
91,0,5.0
92,0,115.56155201004012
93,0,57.52287350160196
94,1,179.19219434519704
95,0,87.14137733057734
96,0,121.12166746306676
97,1,88.07065865761712
98,1,152.76576259889066
99,0,189.82618736689506
100,0,45.64581411269357
101,1,110.23883093743217
102,1,80.67505171125634
103,0,185.5789076555679
104,0,63.9635040593969
105,1,61.45000829830014
106,1,73.49440071079727
107,0,81.85695706090608
108,1,56.70660862153637
109,0,67.8930006547982
110,1,130.86174469757208
111,1,109.59307402594884
112,1,183.4732690041161
113,1,93.6903039304473
114,0,77.72300967134468
115,0,106.2637049245358
116,0,224.68839636063382
117,0,42.7438853784677
118,0,205.41746472871677
119,1,26.28129290032605
120,1,136.45969371397413
121,1,92.12786913210064
122,0,41.083743808684595
123,0,131.94554291159932
124,1,165.39193742945844
125,1,81.06264556176652
126,0,5.0
127,0,64.79715212234903
128,1,129.45792065463166
129,0,90.10881667168057
130,1,177.56295197974887
131,1,269.4163250955394
132,0,114.83249023504845
133,1,162.88593268509473
134,0,98.89090388274894
135,1,210.0499910265949
136,0,121.88400065761978
137,1,177.03024280321722
138,0,198.53740974120973
139,1,136.30477549510925
140,1,97.46494355091637
141,1,153.4105691441496
142,0,158.1745390271558
143,1,157.71128704803436
144,1,201.32980914807
145,1,66.41996346929855
146,1,50.88943041844995
147,0,57.297743079174516
148,1,19.744180482037876
149,0,96.61797471800529
150,0,64.19847684900503
151,1,214.5564855842615
152,0,12.526538268151796
153,1,239.88396877765493
154,0,31.12797988574704
155,1,22.017993610428718
156,1,54.27719644321634
157,0,207.07680514414525
158,0,87.5948917576198
159,1,159.89596990899662
160,0,78.96649573631878
161,0,84.59528200918759
162,1,79.14135584772504
163,1,122.55802879071078
164,0,119.67599351290288
165,1,249.50782976618584
166,1,5.0
167,0,186.64921856355014
168,0,121.67762562158843
169,0,67.93423304081838
170,1,75.87756832917235
171,1,200.00670033876247
172,1,136.46032597870612
173,1,5.0
174,0,111.78417620023852
175,1,207.8609797670253
176,0,141.47187952730798
177,0,52.38852782771074
178,1,13.923430283838215
179,0,70.44161154111067
180,1,372.41083983483327
181,1,5.0
182,0,39.43589421078467
183,0,113.52251338395575
184,1,108.88703068769263
185,1,102.98401813297656
186,0,211.4832598800604
187,0,38.804403477721394
188,0,89.14316713769432
189,0,102.11444650816773
190,1,55.83053856411131
191,1,6.229086373068299
192,0,106.15905925515231
193,1,260.0659929185548
194,0,114.27497370705149
195,1,125.62566178456957
196,1,125.05297399243736
197,1,98.44341660624002
198,1,210.91162097099817
199,0,59.6734635724882
200,0,8.592870934886264
201,0,5.0
202,0,94.74054085464338
203,1,201.33401212806353
204,1,137.1238496265113
205,1,93.84523474888984
206,1,154.35842113183435
207,1,133.1245628237808
208,1,183.04285694503278
209,1,222.06730322006834
