task_id,ai_treatment,initial_implementation_time
1,0.0,81.39226622215864
2,0.0,127.0202265429078
3,1.0,216.01737453291304
4,0.0,93.9389494866735
5,1.0,209.79819646230453
6,1.0,186.71872358897525
7,1.0,134.6407104525203
8,0.0,5.0
9,0.0,28.337348154690666
10,1.0,176.416769533527
11,1.0,5.0
12,1.0,127.88032236788685
13,1.0,196.63787740544416
14,1.0,130.48882725622224
15,0.0,53.91616526569641
16,1.0,52.56408016454586
17,1.0,182.2599123847469
18,0.0,118.30243749161872
19,1.0,96.33183452306623
20,0.0,153.91754813075698
21,1.0,185.2118273466023
22,0.0,197.31563143952775
23,1.0,162.8177375213928
24,0.0,80.12997395028573
25,1.0,107.44670709281291
26,1.0,5.0
27,1.0,130.3514053916959
28,0.0,89.0571036088532
29,0.0,10.19555606911291
30,0.0,88.48274246573231
31,1.0,223.36712055914876
32,1.0,61.30528330409293
33,1.0,43.7282186951153
34,0.0,156.29569310700896
35,1.0,168.0707431086146
36,0.0,273.6657128626956
37,1.0,15.751527460867209
38,1.0,174.79020487897932
39,0.0,108.95345442913894
40,0.0,93.55687704319175
41,1.0,189.6199530425841
42,0.0,88.2164785387566
43,0.0,5.0
44,1.0,52.506112807213796
45,0.0,171.8660068392191
46,1.0,210.01825449674322
47,0.0,67.61284862097824
48,1.0,157.88057100329576
49,0.0,257.0362827893902
50,1.0,116.16742974298614
51,1.0,117.69650105700448
52,1.0,133.46669899893283
53,1.0,165.94410534635273
54,1.0,91.38570774372538
55,1.0,165.87809032172862
56,0.0,5.0
57,1.0,144.83910357532767
58,1.0,122.54912525138296
59,0.0,76.95258138575856
60,1.0,81.5299268247629
61,0.0,53.437597446935186
62,0.0,41.188734182398605
63,0.0,5.0
64,1.0,97.69456855625594
65,1.0,204.11372358420493
66,0.0,69.87533855574962
67,1.0,168.13877897035437
68,1.0,34.34433213684213
69,1.0,16.755590784794933
70,1.0,60.040576240721514
71,0.0,28.470007816790613
72,1.0,26.322910315865883
73,0.0,116.98644230932402
74,1.0,257.35609882310496
75,0.0,49.983397502609236
76,1.0,5.0
77,1.0,169.83019183079043
78,0.0,5.0
79,0.0,19.00406271273485
80,0.0,119.6997392515017
81,1.0,105.70585006482213
82,1.0,65.0003363240642
83,1.0,123.93139758609864
84,0.0,65.43547016570656
85,1.0,265.98471717787345
86,1.0,65.88723073073106
87,1.0,47.3538220888516
88,1.0,83.10741242896984
89,0.0,65.23430320859362
90,0.0,125.73861910825929
91,0.0,5.0
92,0.0,115.56155201004012
93,0.0,57.52287350160196
94,1.0,179.19219434519704
95,0.0,87.14137733057734
96,0.0,121.12166746306676
97,1.0,88.07065865761712
98,1.0,152.76576259889066
99,0.0,189.82618736689506
100,0.0,45.64581411269357
101,1.0,110.23883093743217
102,1.0,80.67505171125634
103,0.0,185.5789076555679
104,0.0,63.9635040593969
105,1.0,61.45000829830014
106,1.0,73.49440071079727
107,0.0,81.85695706090608
108,1.0,56.70660862153637
109,0.0,67.8930006547982
110,1.0,130.86174469757208
111,1.0,109.59307402594884
112,1.0,183.4732690041161
113,1.0,93.6903039304473
114,0.0,77.72300967134468
115,0.0,106.2637049245358
116,0.0,224.68839636063382
117,0.0,42.7438853784677
118,0.0,205.41746472871677
119,1.0,26.28129290032605
120,1.0,136.45969371397413
121,1.0,92.12786913210064
122,0.0,41.083743808684595
123,0.0,131.94554291159932
124,1.0,165.39193742945844
125,1.0,81.06264556176652
126,0.0,5.0
127,0.0,64.79715212234903
128,1.0,129.45792065463166
129,0.0,90.10881667168057
130,1.0,177.56295197974887
131,1.0,269.4163250955394
132,0.0,114.83249023504845
133,1.0,162.88593268509473
