task_id,ai_treatment,initial_implementation_time,treatment_label
1,0.0,81.39226622215864,AI Disabled
2,0.0,127.0202265429078,AI Disabled
3,1.0,216.01737453291304,AI Enabled
4,0.0,93.9389494866735,AI Disabled
5,1.0,209.79819646230453,AI Enabled
6,1.0,186.71872358897525,AI Enabled
7,1.0,134.6407104525203,AI Enabled
8,0.0,5.0,AI Disabled
9,0.0,28.337348154690666,AI Disabled
10,1.0,176.416769533527,AI Enabled
11,1.0,5.0,AI Enabled
12,1.0,127.88032236788685,AI Enabled
13,1.0,196.63787740544416,AI Enabled
14,1.0,130.48882725622224,AI Enabled
15,0.0,53.91616526569641,AI Disabled
16,1.0,52.56408016454586,AI Enabled
17,1.0,182.2599123847469,AI Enabled
18,0.0,118.30243749161872,AI Disabled
19,1.0,96.33183452306623,AI Enabled
20,0.0,153.91754813075698,AI Disabled
21,1.0,185.2118273466023,AI Enabled
22,0.0,197.31563143952775,AI Disabled
23,1.0,162.8177375213928,AI Enabled
24,0.0,80.12997395028573,AI Disabled
25,1.0,107.44670709281291,AI Enabled
26,1.0,5.0,AI Enabled
27,1.0,130.3514053916959,AI Enabled
28,0.0,89.0571036088532,AI Disabled
29,0.0,10.19555606911291,AI Disabled
30,0.0,88.48274246573231,AI Disabled
31,1.0,223.36712055914876,AI Enabled
32,1.0,61.30528330409293,AI Enabled
33,1.0,43.7282186951153,AI Enabled
34,0.0,156.29569310700896,AI Disabled
35,1.0,168.0707431086146,AI Enabled
36,0.0,273.6657128626956,AI Disabled
37,1.0,15.751527460867209,AI Enabled
38,1.0,174.79020487897932,AI Enabled
39,0.0,108.95345442913894,AI Disabled
40,0.0,93.55687704319175,AI Disabled
41,1.0,189.6199530425841,AI Enabled
42,0.0,88.2164785387566,AI Disabled
43,0.0,5.0,AI Disabled
44,1.0,52.506112807213796,AI Enabled
45,0.0,171.8660068392191,AI Disabled
46,1.0,210.01825449674322,AI Enabled
47,0.0,67.61284862097824,AI Disabled
48,1.0,157.88057100329576,AI Enabled
49,0.0,257.0362827893902,AI Disabled
50,1.0,116.16742974298614,AI Enabled
51,1.0,117.69650105700448,AI Enabled
52,1.0,133.46669899893283,AI Enabled
53,1.0,165.94410534635273,AI Enabled
54,1.0,91.38570774372538,AI Enabled
55,1.0,165.87809032172862,AI Enabled
56,0.0,5.0,AI Disabled
57,1.0,144.83910357532767,AI Enabled
58,1.0,122.54912525138296,AI Enabled
59,0.0,76.95258138575856,AI Disabled
60,1.0,81.5299268247629,AI Enabled
61,0.0,53.437597446935186,AI Disabled
62,0.0,41.188734182398605,AI Disabled
63,0.0,5.0,AI Disabled
64,1.0,97.69456855625594,AI Enabled
65,1.0,204.11372358420493,AI Enabled
66,0.0,69.87533855574962,AI Disabled
67,1.0,168.13877897035437,AI Enabled
68,1.0,34.34433213684213,AI Enabled
69,1.0,16.755590784794933,AI Enabled
70,1.0,60.040576240721514,AI Enabled
71,0.0,28.470007816790613,AI Disabled
72,1.0,26.322910315865883,AI Enabled
73,0.0,116.98644230932402,AI Disabled
74,1.0,257.35609882310496,AI Enabled
75,0.0,49.983397502609236,AI Disabled
76,1.0,5.0,AI Enabled
77,1.0,169.83019183079043,AI Enabled
78,0.0,5.0,AI Disabled
79,0.0,19.00406271273485,AI Disabled
80,0.0,119.6997392515017,AI Disabled
81,1.0,105.70585006482213,AI Enabled
82,1.0,65.0003363240642,AI Enabled
83,1.0,123.93139758609864,AI Enabled
84,0.0,65.43547016570656,AI Disabled
85,1.0,265.98471717787345,AI Enabled
86,1.0,65.88723073073106,AI Enabled
87,1.0,47.3538220888516,AI Enabled
88,1.0,83.10741242896984,AI Enabled
89,0.0,65.23430320859362,AI Disabled
90,0.0,125.73861910825929,AI Disabled
91,0.0,5.0,AI Disabled
92,0.0,115.56155201004012,AI Disabled
93,0.0,57.52287350160196,AI Disabled
94,1.0,179.19219434519704,AI Enabled
95,0.0,87.14137733057734,AI Disabled
96,0.0,121.12166746306676,AI Disabled
97,1.0,88.07065865761712,AI Enabled
98,1.0,152.76576259889066,AI Enabled
99,0.0,189.82618736689506,AI Disabled
100,0.0,45.64581411269357,AI Disabled
101,1.0,110.23883093743217,AI Enabled
102,1.0,80.67505171125634,AI Enabled
103,0.0,185.5789076555679,AI Disabled
104,0.0,63.9635040593969,AI Disabled
105,1.0,61.45000829830014,AI Enabled
106,1.0,73.49440071079727,AI Enabled
107,0.0,81.85695706090608,AI Disabled
108,1.0,56.70660862153637,AI Enabled
109,0.0,67.8930006547982,AI Disabled
110,1.0,130.86174469757208,AI Enabled
111,1.0,109.59307402594884,AI Enabled
112,1.0,183.4732690041161,AI Enabled
113,1.0,93.6903039304473,AI Enabled
114,0.0,77.72300967134468,AI Disabled
115,0.0,106.2637049245358,AI Disabled
116,0.0,224.68839636063382,AI Disabled
117,0.0,42.7438853784677,AI Disabled
118,0.0,205.41746472871677,AI Disabled
119,1.0,26.28129290032605,AI Enabled
120,1.0,136.45969371397413,AI Enabled
121,1.0,92.12786913210064,AI Enabled
122,0.0,41.083743808684595,AI Disabled
123,0.0,131.94554291159932,AI Disabled
124,1.0,165.39193742945844,AI Enabled
125,1.0,81.06264556176652,AI Enabled
126,0.0,5.0,AI Disabled
127,0.0,64.79715212234903,AI Disabled
128,1.0,129.45792065463166,AI Enabled
129,0.0,90.10881667168057,AI Disabled
130,1.0,177.56295197974887,AI Enabled
131,1.0,269.4163250955394,AI Enabled
132,0.0,114.83249023504845,AI Disabled
133,1.0,162.88593268509473,AI Enabled
134,0.0,98.89090388274894,AI Disabled
135,1.0,210.0499910265949,AI Enabled
136,0.0,121.88400065761978,AI Disabled
137,1.0,177.03024280321722,AI Enabled
138,0.0,198.53740974120973,AI Disabled
139,1.0,136.30477549510925,AI Enabled
140,1.0,97.46494355091637,AI Enabled
141,1.0,153.4105691441496,AI Enabled
142,0.0,158.1745390271558,AI Disabled
143,1.0,157.71128704803436,AI Enabled
144,1.0,201.32980914807,AI Enabled
145,1.0,66.41996346929855,AI Enabled
146,1.0,50.88943041844995,AI Enabled
147,0.0,57.297743079174516,AI Disabled
148,1.0,19.744180482037876,AI Enabled
149,0.0,96.61797471800529,AI Disabled
150,0.0,64.19847684900503,AI Disabled
151,1.0,214.5564855842615,AI Enabled
152,0.0,12.526538268151796,AI Disabled
153,1.0,239.88396877765493,AI Enabled
154,0.0,31.12797988574704,AI Disabled
155,1.0,22.017993610428718,AI Enabled
156,1.0,54.27719644321634,AI Enabled
157,0.0,207.07680514414525,AI Disabled
158,0.0,87.5948917576198,AI Disabled
159,1.0,159.89596990899662,AI Enabled
160,0.0,78.96649573631878,AI Disabled
161,0.0,84.59528200918759,AI Disabled
162,1.0,79.14135584772504,AI Enabled
163,1.0,122.55802879071078,AI Enabled
164,0.0,119.67599351290288,AI Disabled
165,1.0,249.50782976618584,AI Enabled
166,1.0,5.0,AI Enabled
167,0.0,186.64921856355014,AI Disabled
168,0.0,121.67762562158843,AI Disabled
169,0.0,67.93423304081838,AI Disabled
170,1.0,75.87756832917235,AI Enabled
171,1.0,200.00670033876247,AI Enabled
172,1.0,136.46032597870612,AI Enabled
173,1.0,5.0,AI Enabled
174,0.0,111.78417620023852,AI Disabled
175,1.0,207.8609797670253,AI Enabled
176,0.0,141.47187952730798,AI Disabled
177,0.0,52.38852782771074,AI Disabled
178,1.0,13.923430283838215,AI Enabled
179,0.0,70.44161154111067,AI Disabled
180,1.0,372.41083983483327,AI Enabled
181,1.0,5.0,AI Enabled
182,0.0,39.43589421078467,AI Disabled
183,0.0,113.52251338395575,AI Disabled
184,1.0,108.88703068769263,AI Enabled
185,1.0,102.98401813297656,AI Enabled
186,0.0,211.4832598800604,AI Disabled
187,0.0,38.804403477721394,AI Disabled
188,0.0,89.14316713769432,AI Disabled
189,0.0,102.11444650816773,AI Disabled
190,1.0,55.83053856411131,AI Enabled
191,1.0,6.229086373068299,AI Enabled
192,0.0,106.15905925515231,AI Disabled
193,1.0,260.0659929185548,AI Enabled
194,0.0,114.27497370705149,AI Disabled
195,1.0,125.62566178456957,AI Enabled
196,1.0,125.05297399243736,AI Enabled
197,1.0,98.44341660624002,AI Enabled
198,1.0,210.91162097099817,AI Enabled
199,0.0,59.6734635724882,AI Disabled
200,0.0,8.592870934886264,AI Disabled
201,0.0,5.0,AI Disabled
202,0.0,94.74054085464338,AI Disabled
203,1.0,201.33401212806353,AI Enabled
204,1.0,137.1238496265113,AI Enabled
205,1.0,93.84523474888984,AI Enabled
206,1.0,154.35842113183435,AI Enabled
207,1.0,133.1245628237808,AI Enabled
208,1.0,183.04285694503278,AI Enabled
209,1.0,222.06730322006834,AI Enabled
210,0.0,32.736592285620304,AI Disabled
211,0.0,5.0,AI Disabled
212,0.0,68.907792082773,AI Disabled
213,0.0,28.839511965595733,AI Disabled
214,0.0,139.91749119447067,AI Disabled
215,1.0,62.10196396292624,AI Enabled
216,1.0,5.0,AI Enabled
